Type,Valeur
Seuil de d�tection,35.0
Dur�e totale (secondes),413.4
Nombre de cuts,96
Fr�quence (cuts/minute),13.93
Temps moyen entre cuts (secondes),4.0
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),15.1
url,https://www.youtube.com/watch?v=w_74UeLJIuo

Liste des cuts
Num�ro,Timestamp
1,26.5
2,28.3
3,30.4
4,34.9
5,38.6
6,41.9
7,43.7
8,45.2
9,47.8
10,49.1
11,53.1
12,68.0
13,69.7
14,71.3
15,76.6
16,78.0
17,81.2
18,83.7
19,89.1
20,101.9
21,105.1
22,110.6
23,124.9
24,129.6
25,133.3
26,136.4
27,140.0
28,145.5
29,148.7
30,152.4
31,154.2
32,157.1
33,168.9
34,173.4
35,179.1
36,183.8
37,186.8
38,192.9
39,195.0
40,210.1
41,212.7
42,219.3
43,223.4
44,224.4
45,225.9
46,228.1
47,230.1
48,231.1
49,233.0
50,234.2
51,236.4
52,237.7
53,240.4
54,242.0
55,244.1
56,246.6
57,252.5
58,254.1
59,258.4
60,262.1
61,267.9
62,268.8
63,271.2
64,278.4
65,281.9
66,283.1
67,287.1
68,289.6
69,290.4
70,292.6
71,297.1
72,303.9
73,305.5
74,307.1
75,309.6
76,311.6
77,315.0
78,319.7
79,321.8
80,324.1
81,326.7
82,328.8
83,330.8
84,341.4
85,343.1
86,351.9
87,358.2
88,363.7
89,369.9
90,373.7
91,379.7
92,385.4
93,388.3
94,397.7
95,404.5
96,406.5
