Type,Valeur
Seuil de d�tection,40.0
Dur�e totale (secondes),284.8
Nombre de cuts,95
Fr�quence (cuts/minute),20.02
Temps moyen entre cuts (secondes),2.9
Temps minimum entre cuts (secondes),1.2
Temps maximum entre cuts (secondes),10.5
url,https://www.youtube.com/watch?v=RvgnuPL9x-s

Liste des cuts
Num�ro,Timestamp
1,2.7
2,7.3
3,11.9
4,14.5
5,17.0
6,20.8
7,24.4
8,28.2
9,31.2
10,32.4
11,35.9
12,38.1
13,40.2
14,43.7
15,45.8
16,48.2
17,53.3
18,57.4
19,60.6
20,62.7
21,64.7
22,67.0
23,69.6
24,70.8
25,74.4
26,76.5
27,80.3
28,82.1
29,84.2
30,86.5
31,91.7
32,95.9
33,99.0
34,101.0
35,103.1
36,105.3
37,107.9
38,109.2
39,114.5
40,118.2
41,120.5
42,122.8
43,125.0
44,130.0
45,134.3
46,137.4
47,139.5
48,141.5
49,143.8
50,146.4
51,147.7
52,151.2
53,153.1
54,156.9
55,158.9
56,161.0
57,163.4
58,168.5
59,172.7
60,175.9
61,177.8
62,179.9
63,182.1
64,184.8
65,186.0
66,189.6
67,191.7
68,193.8
69,197.3
70,199.4
71,201.3
72,206.8
73,211.1
74,214.3
75,216.3
76,218.3
77,220.6
78,223.2
79,224.5
80,228.0
81,230.0
82,233.7
83,235.7
84,238.0
85,239.8
86,242.5
87,245.1
88,247.5
89,251.3
90,254.9
91,258.6
92,261.9
93,272.4
94,274.6
95,278.0
