Type,Valeur
Seuil de d�tection,40.0
Dur�e totale (secondes),428.0
Nombre de cuts,137
Fr�quence (cuts/minute),19.20
Temps moyen entre cuts (secondes),3.0
Temps minimum entre cuts (secondes),1.3
Temps maximum entre cuts (secondes),8.4
url,https://www.youtube.com/watch?v=j86yN2bOiBQ

Liste des cuts
Num�ro,Timestamp
1,2.2
2,6.8
3,8.5
4,10.4
5,14.5
6,17.8
7,19.9
8,25.2
9,27.1
10,29.9
11,32.5
12,34.1
13,36.6
14,39.0
15,40.4
16,48.7
17,50.7
18,53.5
19,58.1
20,61.0
21,65.3
22,66.7
23,70.3
24,72.8
25,76.0
26,77.7
27,80.1
28,82.5
29,88.7
30,91.8
31,94.1
32,96.7
33,101.3
34,105.6
35,109.6
36,112.8
37,115.7
38,118.4
39,122.1
40,125.4
41,127.9
42,130.0
43,134.9
44,136.9
45,139.6
46,144.2
47,146.6
48,148.7
49,151.8
50,153.6
51,156.4
52,159.1
53,161.5
54,164.3
55,166.9
56,168.9
57,173.0
58,175.1
59,177.7
60,183.5
61,185.6
62,190.1
63,194.8
64,198.2
65,202.2
66,206.8
67,211.6
68,216.4
69,218.4
70,221.2
71,223.8
72,225.9
73,228.4
74,231.1
75,233.4
76,238.1
77,240.4
78,243.1
79,247.5
80,250.0
81,252.0
82,254.8
83,257.1
84,259.6
85,264.4
86,266.9
87,269.1
88,271.6
89,274.3
90,276.5
91,281.2
92,283.6
93,286.2
94,293.2
95,298.0
96,300.3
97,302.8
98,304.8
99,307.6
100,310.2
101,312.3
102,314.8
103,317.4
104,319.7
105,324.4
106,326.8
107,329.5
108,336.4
109,338.4
110,341.1
111,343.4
112,345.9
113,347.9
114,350.7
115,353.3
116,355.3
117,357.9
118,360.5
119,362.9
120,367.5
121,369.8
122,372.5
123,374.9
124,377.0
125,379.6
126,381.5
127,384.4
128,389.3
129,394.1
130,396.6
131,398.7
132,401.2
133,403.5
134,406.2
135,410.8
136,412.9
137,415.8
