Type,Valeur
Seuil de d�tection,40.0
Dur�e totale (secondes),336.5
Nombre de cuts,99
Fr�quence (cuts/minute),17.65
Temps moyen entre cuts (secondes),3.3
Temps minimum entre cuts (secondes),0.9
Temps maximum entre cuts (secondes),17.0
url,https://www.youtube.com/watch?v=mODmVmZp31A

Liste des cuts
Num�ro,Timestamp
1,4.2
2,5.9
3,9.3
4,10.9
5,23.5
6,25.3
7,27.5
8,29.5
9,31.1
10,45.1
11,46.7
12,49.0
13,51.4
14,53.3
15,67.5
16,69.0
17,70.7
18,72.9
19,75.2
20,84.8
21,86.6
22,89.6
23,90.9
24,94.8
25,97.6
26,112.0
27,113.6
28,115.3
29,117.5
30,119.5
31,133.8
32,135.4
33,137.1
34,139.2
35,156.2
36,157.9
37,159.8
38,163.9
39,179.8
40,181.7
41,184.4
42,185.7
43,189.3
44,190.6
45,191.6
46,193.9
47,195.5
48,196.8
49,202.3
50,204.2
51,208.6
52,210.1
53,211.1
54,216.1
55,217.4
56,221.1
57,223.8
58,225.8
59,229.8
60,232.5
61,234.3
62,237.2
63,240.8
64,244.1
65,246.2
66,250.6
67,254.0
68,256.0
69,259.2
70,263.3
71,266.4
72,268.4
73,269.3
74,270.5
75,273.7
76,277.5
77,279.9
78,282.8
79,285.1
80,286.8
81,288.3
82,291.4
83,293.1
84,296.2
85,299.0
86,300.5
87,302.0
88,303.3
89,305.6
90,308.7
91,310.1
92,312.6
93,314.3
94,316.0
95,320.4
96,322.7
97,324.7
98,327.3
99,331.5
