Type,Valeur
Seuil de détection,25.0
Durée totale (secondes),1359.9
Nombre de cuts,155
Fréquence (cuts/minute),6.84
Temps moyen entre cuts (secondes),8.8
Temps minimum entre cuts (secondes),1.0
Temps maximum entre cuts (secondes),65.2

Liste des cuts
Numéro,Timestamp
1,2.4
2,15.1
3,43.9
4,50.5
5,55.0
6,62.9
7,69.0
8,71.9
9,79.9
10,89.7
11,101.5
12,103.2
13,107.7
14,110.4
15,115.7
16,123.6
17,125.6
18,134.1
19,147.4
20,150.0
21,151.6
22,158.2
23,182.2
24,187.3
25,207.8
26,212.9
27,233.3
28,237.6
29,241.2
30,246.2
31,252.7
32,255.9
33,258.0
34,295.9
35,312.8
36,336.9
37,338.9
38,342.9
39,364.2
40,365.3
41,367.6
42,372.8
43,383.3
44,385.3
45,415.4
46,417.6
47,422.2
48,440.4
49,444.2
50,446.6
51,456.7
52,464.1
53,475.5
54,477.9
55,481.5
56,483.1
57,488.1
58,490.7
59,520.1
60,522.0
61,525.7
62,527.6
63,534.5
64,540.2
65,542.8
66,547.4
67,569.1
68,572.1
69,585.8
70,587.5
71,591.3
72,593.5
73,601.6
74,613.2
75,624.9
76,626.8
77,639.7
78,657.6
79,660.3
80,669.4
81,681.1
82,684.5
83,688.1
84,691.0
85,707.9
86,743.9
87,745.6
88,750.6
89,764.3
90,769.3
91,793.1
92,808.8
93,810.9
94,812.0
95,816.9
96,825.6
97,835.1
98,843.1
99,847.8
100,854.9
101,858.8
102,872.9
103,879.7
104,896.9
105,903.8
106,905.5
107,913.0
108,978.2
109,981.6
110,989.8
111,1016.9
112,1025.3
113,1031.8
114,1044.2
115,1049.9
116,1058.2
117,1059.6
118,1066.8
119,1081.2
120,1100.9
121,1105.7
122,1108.2
123,1114.5
124,1120.9
125,1126.5
126,1130.9
127,1136.3
128,1139.6
129,1146.5
130,1148.3
131,1150.2
132,1151.2
133,1155.1
134,1156.0
135,1158.0
136,1159.8
137,1162.3
138,1164.5
139,1174.5
140,1178.3
141,1208.4
142,1216.4
143,1225.3
144,1229.9
145,1232.0
146,1234.2
147,1261.6
148,1287.8
149,1296.0
150,1323.3
151,1332.9
152,1334.8
153,1337.0
154,1349.2
155,1358.7
