Type,Valeur
Seuil de détection,30.0
Durée totale (secondes),1354.9
Nombre de cuts,388
Fréquence (cuts/minute),17.18
Temps moyen entre cuts (secondes),3.5
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),27.8

Liste des cuts
Numéro,Timestamp
1,2.9
2,3.8
3,8.0
4,8.9
5,9.8
6,12.3
7,13.3
8,14.3
9,15.2
10,16.8
11,17.7
12,18.7
13,19.8
14,20.6
15,21.6
16,23.4
17,25.0
18,25.8
19,27.0
20,28.2
21,29.1
22,32.2
23,39.3
24,44.9
25,49.0
26,53.4
27,59.8
28,65.6
29,69.3
30,71.6
31,73.1
32,76.3
33,79.1
34,82.9
35,86.7
36,89.9
37,99.8
38,104.8
39,109.4
40,112.3
41,113.6
42,115.7
43,117.8
44,120.0
45,122.2
46,124.1
47,129.8
48,130.8
49,133.8
50,136.0
51,142.7
52,144.5
53,146.4
54,153.5
55,155.5
56,156.9
57,162.2
58,164.0
59,166.2
60,173.0
61,186.7
62,206.9
63,208.1
64,209.7
65,213.4
66,214.3
67,215.7
68,216.7
69,217.8
70,219.4
71,233.9
72,240.8
73,242.0
74,251.8
75,257.2
76,259.9
77,261.5
78,264.0
79,275.1
80,280.3
81,284.9
82,289.4
83,290.3
84,295.5
85,301.3
86,306.5
87,319.4
88,334.8
89,339.9
90,345.1
91,348.4
92,354.7
93,356.3
94,359.0
95,364.5
96,367.7
97,370.8
98,373.9
99,382.1
100,387.4
101,389.8
102,391.9
103,394.3
104,397.8
105,399.1
106,400.1
107,401.4
108,409.6
109,417.0
110,419.2
111,435.6
112,446.1
113,447.4
114,450.2
115,452.0
116,454.7
117,456.7
118,458.5
119,460.6
120,462.5
121,466.9
122,472.3
123,475.1
124,477.6
125,480.2
126,490.9
127,492.4
128,494.3
129,495.4
130,497.9
131,504.9
132,509.8
133,515.1
134,516.9
135,519.6
136,521.8
137,522.9
138,525.3
139,530.0
140,535.2
141,537.0
142,542.3
143,543.2
144,544.1
145,549.5
146,551.0
147,552.7
148,554.3
149,556.6
150,561.2
151,562.7
152,570.6
153,571.7
154,572.7
155,573.6
156,575.2
157,576.5
158,577.8
159,582.1
160,589.5
161,593.2
162,594.3
163,595.2
164,597.3
165,600.0
166,605.8
167,609.2
168,620.1
169,626.9
170,627.8
171,631.4
172,638.9
173,639.8
174,642.1
175,645.6
176,651.6
177,653.8
178,656.3
179,657.3
180,658.2
181,659.5
182,661.3
183,662.6
184,667.9
185,668.8
186,670.7
187,674.8
188,678.0
189,679.8
190,688.6
191,693.2
192,694.1
193,695.6
194,709.8
195,712.1
196,712.9
197,715.5
198,717.2
199,723.2
200,726.3
201,729.6
202,732.0
203,734.0
204,736.7
205,738.1
206,738.9
207,740.6
208,742.5
209,745.5
210,749.2
211,751.5
212,754.6
213,757.7
214,761.9
215,763.9
216,765.7
217,769.3
218,770.5
219,775.2
220,778.9
221,783.6
222,786.7
223,791.6
224,795.8
225,800.0
226,801.0
227,804.0
228,807.1
229,811.0
230,812.4
231,813.2
232,815.4
233,816.3
234,818.9
235,820.6
236,822.1
237,825.6
238,829.3
239,830.9
240,833.6
241,834.7
242,835.6
243,836.4
244,845.8
245,848.5
246,851.0
247,855.9
248,857.2
249,865.5
250,866.5
251,867.4
252,870.2
253,871.1
254,873.1
255,874.2
256,875.0
257,875.9
258,876.7
259,883.0
260,885.0
261,895.1
262,896.6
263,904.2
264,906.6
265,909.0
266,914.7
267,917.7
268,920.7
269,923.3
270,924.9
271,926.6
272,927.5
273,931.5
274,936.4
275,938.3
276,939.4
277,940.3
278,941.7
279,943.7
280,944.7
281,946.7
282,947.8
283,951.5
284,954.6
285,959.0
286,960.8
287,962.0
288,976.1
289,978.5
290,990.0
291,993.2
292,995.9
293,997.6
294,998.6
295,999.6
296,1001.2
297,1003.1
298,1004.5
299,1013.9
300,1017.9
301,1018.8
302,1019.8
303,1022.4
304,1023.7
305,1026.2
306,1028.7
307,1030.1
308,1035.0
309,1035.9
310,1037.8
311,1038.8
312,1040.0
313,1046.5
314,1048.0
315,1053.2
316,1055.3
317,1061.5
318,1062.4
319,1064.8
320,1072.1
321,1074.1
322,1078.6
323,1082.4
324,1085.9
325,1092.2
326,1099.4
327,1100.6
328,1101.9
329,1107.3
330,1113.2
331,1120.2
332,1121.8
333,1133.8
334,1139.9
335,1143.2
336,1149.3
337,1153.5
338,1155.7
339,1157.6
340,1162.4
341,1163.8
342,1165.6
343,1168.0
344,1171.4
345,1172.7
346,1174.9
347,1176.5
348,1177.5
349,1180.2
350,1186.3
351,1192.9
352,1194.7
353,1204.3
354,1232.2
355,1237.9
356,1247.0
357,1250.5
358,1253.5
359,1256.8
360,1259.7
361,1261.9
362,1264.4
363,1266.2
364,1267.5
365,1269.8
366,1270.7
367,1271.6
368,1272.6
369,1277.9
370,1280.3
371,1284.8
372,1293.4
373,1302.2
374,1304.1
375,1305.3
376,1307.6
377,1310.2
378,1312.0
379,1313.1
380,1314.3
381,1316.7
382,1319.4
383,1321.4
384,1326.3
385,1329.9
386,1336.9
387,1341.9
388,1354.3
