Type,Valeur
Seuil de détection,35.0
Durée totale (secondes),1360.0
Nombre de cuts,250
Fréquence (cuts/minute),11.03
Temps moyen entre cuts (secondes),5.4
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),36.8

Liste des cuts
Numéro,Timestamp
1,3.4
2,4.4
3,6.9
4,12.4
5,13.4
6,14.6
7,16.3
8,18.9
9,20.8
10,21.8
11,22.8
12,23.7
13,24.6
14,25.7
15,27.4
16,28.2
17,29.5
18,31.0
19,33.0
20,43.3
21,48.8
22,54.7
23,57.9
24,59.9
25,62.0
26,69.6
27,71.3
28,73.1
29,74.5
30,83.1
31,85.9
32,87.6
33,88.7
34,114.1
35,122.8
36,125.1
37,132.4
38,135.9
39,139.1
40,142.3
41,144.1
42,146.8
43,148.8
44,150.7
45,153.7
46,155.6
47,157.4
48,159.6
49,169.5
50,170.9
51,175.8
52,178.2
53,215.0
54,216.1
55,220.8
56,224.2
57,227.1
58,230.9
59,234.4
60,239.6
61,245.9
62,266.4
63,270.2
64,274.6
65,286.2
66,292.7
67,295.3
68,304.6
69,312.8
70,318.0
71,323.1
72,334.1
73,335.4
74,338.2
75,348.7
76,351.1
77,355.9
78,359.0
79,360.5
80,361.5
81,362.5
82,368.1
83,373.8
84,375.3
85,376.5
86,379.3
87,380.9
88,388.9
89,395.4
90,398.1
91,398.9
92,400.2
93,401.7
94,402.7
95,415.0
96,417.5
97,434.4
98,437.2
99,445.2
100,446.6
101,451.9
102,457.2
103,462.6
104,464.5
105,465.5
106,467.1
107,468.6
108,469.6
109,471.8
110,474.6
111,478.7
112,481.6
113,483.3
114,485.0
115,487.7
116,489.4
117,491.7
118,493.0
119,495.4
120,498.1
121,505.0
122,506.9
123,509.0
124,510.5
125,513.8
126,522.1
127,526.8
128,528.6
129,531.9
130,543.3
131,546.2
132,547.7
133,554.9
134,561.7
135,572.6
136,575.3
137,577.9
138,581.4
139,593.6
140,604.2
141,613.6
142,619.2
143,630.1
144,633.1
145,639.4
146,642.0
147,654.1
148,660.1
149,662.9
150,676.1
151,677.1
152,679.7
153,691.1
154,696.2
155,700.2
156,705.9
157,716.0
158,727.0
159,732.1
160,735.7
161,741.3
162,755.2
163,756.1
164,757.4
165,769.3
166,771.2
167,791.4
168,795.9
169,813.1
170,824.4
171,829.2
172,833.9
173,864.3
174,878.4
175,880.2
176,884.7
177,891.5
178,897.1
179,899.3
180,900.7
181,906.5
182,938.8
183,945.6
184,956.2
185,960.2
186,964.9
187,965.7
188,973.7
189,974.9
190,978.6
191,980.0
192,981.5
193,982.7
194,987.0
195,991.0
196,997.1
197,999.2
198,1001.1
199,1008.3
200,1010.7
201,1015.4
202,1018.2
203,1022.2
204,1023.8
205,1039.5
206,1042.6
207,1044.3
208,1058.0
209,1065.2
210,1075.7
211,1080.0
212,1084.7
213,1089.6
214,1095.9
215,1097.7
216,1101.8
217,1123.9
218,1134.3
219,1149.6
220,1151.0
221,1161.5
222,1175.0
223,1195.9
224,1209.1
225,1210.6
226,1219.4
227,1221.6
228,1240.0
229,1240.8
230,1241.7
231,1246.7
232,1251.9
233,1263.4
234,1267.3
235,1268.3
236,1295.0
237,1297.4
238,1299.9
239,1311.2
240,1316.2
241,1317.0
242,1318.8
243,1323.2
244,1324.7
245,1326.6
246,1329.2
247,1338.9
248,1343.2
249,1347.4
250,1358.3
