Type,Valeur
Seuil de détection,35.0
Durée totale (secondes),649.6
Nombre de cuts,321
Fréquence (cuts/minute),29.65
Temps moyen entre cuts (secondes),2.0
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),19.5

Liste des cuts
Numéro,Timestamp
1,2.7
2,4.9
3,5.9
4,6.7
5,7.7
6,9.3
7,10.8
8,11.9
9,14.0
10,16.4
11,18.0
12,19.5
13,20.5
14,21.5
15,22.3
16,25.2
17,26.1
18,27.6
19,29.5
20,31.4
21,35.2
22,36.0
23,46.3
24,48.9
25,68.4
26,72.3
27,73.8
28,80.3
29,83.3
30,85.6
31,87.5
32,90.8
33,93.6
34,95.0
35,96.4
36,98.6
37,99.9
38,101.7
39,103.4
40,104.4
41,106.0
42,107.1
43,108.1
44,108.9
45,109.9
46,111.6
47,112.5
48,114.1
49,115.0
50,115.9
51,118.4
52,119.6
53,121.5
54,122.5
55,123.6
56,125.3
57,126.3
58,128.9
59,129.8
60,131.5
61,132.6
62,134.9
63,135.8
64,137.3
65,138.4
66,139.2
67,140.5
68,143.3
69,144.9
70,146.9
71,148.9
72,151.4
73,153.7
74,155.4
75,161.7
76,164.4
77,166.2
78,167.8
79,169.2
80,170.6
81,171.5
82,172.4
83,173.9
84,178.8
85,179.6
86,180.8
87,181.7
88,183.4
89,187.3
90,188.9
91,192.7
92,193.8
93,194.9
94,196.2
95,197.1
96,198.3
97,200.6
98,211.1
99,214.1
100,215.5
101,216.8
102,219.0
103,221.1
104,223.9
105,225.2
106,229.0
107,229.8
108,230.7
109,232.5
110,233.7
111,234.9
112,235.9
113,237.8
114,239.8
115,245.3
116,256.6
117,258.9
118,260.5
119,262.7
120,267.4
121,271.9
122,276.9
123,278.1
124,280.4
125,281.9
126,282.7
127,284.9
128,288.0
129,289.4
130,291.1
131,294.8
132,296.6
133,298.9
134,300.2
135,302.7
136,304.8
137,307.2
138,313.1
139,317.2
140,318.6
141,320.0
142,321.1
143,324.7
144,327.5
145,330.2
146,332.2
147,333.0
148,334.5
149,336.8
150,337.8
151,339.4
152,340.4
153,341.4
154,342.9
155,344.0
156,345.9
157,348.3
158,349.3
159,350.4
160,354.3
161,356.1
162,357.0
163,358.0
164,361.8
165,363.1
166,364.5
167,365.7
168,368.2
169,369.1
170,370.4
171,371.7
172,373.3
173,374.3
174,375.2
175,379.3
176,382.3
177,383.1
178,384.0
179,385.0
180,392.4
181,393.6
182,394.5
183,396.0
184,397.1
185,397.9
186,398.7
187,399.5
188,400.5
189,402.0
190,403.1
191,405.5
192,411.8
193,415.1
194,416.7
195,419.5
196,423.0
197,424.2
198,426.8
199,428.6
200,431.2
201,432.9
202,434.8
203,437.6
204,438.5
205,440.2
206,441.6
207,442.8
208,443.7
209,444.6
210,446.0
211,447.0
212,450.9
213,453.1
214,454.8
215,456.1
216,457.7
217,459.1
218,461.7
219,462.6
220,464.0
221,465.8
222,466.6
223,468.2
224,477.9
225,479.6
226,481.9
227,484.0
228,486.2
229,490.6
230,491.8
231,493.1
232,494.3
233,497.1
234,499.0
235,500.4
236,504.4
237,505.8
238,508.6
239,510.6
240,511.8
241,512.8
242,514.5
243,515.9
244,517.7
245,519.0
246,520.5
247,523.0
248,526.2
249,527.1
250,530.0
251,531.0
252,531.9
253,538.4
254,539.6
255,540.6
256,541.4
257,543.7
258,545.1
259,547.4
260,549.8
261,551.3
262,553.1
263,555.2
264,556.3
265,557.5
266,559.0
267,560.2
268,561.0
269,563.6
270,564.8
271,569.4
272,573.3
273,574.1
274,575.6
275,576.9
276,577.8
277,579.0
278,580.5
279,582.0
280,582.9
281,583.9
282,586.6
283,588.0
284,588.9
285,590.2
286,592.4
287,593.7
288,595.5
289,597.4
290,599.0
291,600.7
292,601.5
293,604.2
294,605.8
295,607.8
296,608.9
297,610.4
298,611.2
299,612.1
300,613.4
301,615.3
302,616.4
303,617.3
304,618.2
305,619.6
306,620.5
307,622.6
308,623.6
309,624.5
310,625.9
311,626.8
312,628.6
313,630.9
314,632.0
315,632.8
316,634.0
317,635.5
318,636.5
319,642.6
320,644.6
321,648.7
