Type,Valeur
Seuil de détection,35.0
Durée totale (secondes),1288.5
Nombre de cuts,359
Fréquence (cuts/minute),16.72
Temps moyen entre cuts (secondes),3.6
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),23.5

Liste des cuts
Numéro,Timestamp
1,5.2
2,16.0
3,20.0
4,43.6
5,48.6
6,52.9
7,53.8
8,58.1
9,63.6
10,66.3
11,86.6
12,90.5
13,94.3
14,101.0
15,106.6
16,107.4
17,109.3
18,110.2
19,111.2
20,112.3
21,113.4
22,115.2
23,116.4
24,117.8
25,119.9
26,120.8
27,122.3
28,124.5
29,137.2
30,140.8
31,142.1
32,147.8
33,152.3
34,155.8
35,158.7
36,160.0
37,160.9
38,162.6
39,165.2
40,168.2
41,171.5
42,175.2
43,176.9
44,178.1
45,182.2
46,183.3
47,188.6
48,191.8
49,193.3
50,196.2
51,198.7
52,204.2
53,205.6
54,206.7
55,213.7
56,220.6
57,224.4
58,226.7
59,235.6
60,242.6
61,245.4
62,247.2
63,248.6
64,258.7
65,261.6
66,265.1
67,266.5
68,269.2
69,270.9
70,273.0
71,276.3
72,277.6
73,286.2
74,287.0
75,289.4
76,290.6
77,299.3
78,303.4
79,305.9
80,309.9
81,311.8
82,312.9
83,315.4
84,318.0
85,321.8
86,323.0
87,324.6
88,326.8
89,328.2
90,332.4
91,333.5
92,334.5
93,338.0
94,341.6
95,347.0
96,352.4
97,356.7
98,363.0
99,370.6
100,378.7
101,383.5
102,393.2
103,396.2
104,398.5
105,404.7
106,409.1
107,413.0
108,417.4
109,421.0
110,424.6
111,426.7
112,430.7
113,441.8
114,443.2
115,446.7
116,448.0
117,449.1
118,450.0
119,451.5
120,452.6
121,454.4
122,457.1
123,459.4
124,461.3
125,465.1
126,467.3
127,469.3
128,470.2
129,472.1
130,474.1
131,477.1
132,480.5
133,489.2
134,491.1
135,492.9
136,495.1
137,497.4
138,501.3
139,502.8
140,504.9
141,506.9
142,508.2
143,509.3
144,510.2
145,511.6
146,515.8
147,516.9
148,517.7
149,518.7
150,519.7
151,527.1
152,530.2
153,542.7
154,544.7
155,548.3
156,550.0
157,553.3
158,556.1
159,563.0
160,564.1
161,567.7
162,572.7
163,578.6
164,580.5
165,584.9
166,587.6
167,593.4
168,597.1
169,599.5
170,602.3
171,604.1
172,606.2
173,609.9
174,612.8
175,614.6
176,621.1
177,622.4
178,626.8
179,631.1
180,632.6
181,635.6
182,638.9
183,642.2
184,644.2
185,646.8
186,649.4
187,651.1
188,654.9
189,665.5
190,667.2
191,672.4
192,674.0
193,676.0
194,677.4
195,684.5
196,694.8
197,696.7
198,703.2
199,710.6
200,720.5
201,726.1
202,730.4
203,732.9
204,737.0
205,746.7
206,753.5
207,758.0
208,768.9
209,777.3
210,780.1
211,781.0
212,783.4
213,789.1
214,790.5
215,792.0
216,792.8
217,794.2
218,800.0
219,802.3
220,804.4
221,809.7
222,811.8
223,816.6
224,826.1
225,827.8
226,830.3
227,834.2
228,837.7
229,844.2
230,851.0
231,854.4
232,858.3
233,861.5
234,864.1
235,869.1
236,872.6
237,874.8
238,878.3
239,880.8
240,883.3
241,898.2
242,899.3
243,901.5
244,902.5
245,904.6
246,908.0
247,910.3
248,911.9
249,916.0
250,923.0
251,935.8
252,940.8
253,949.6
254,954.9
255,956.6
256,960.8
257,965.0
258,970.2
259,971.5
260,978.5
261,991.6
262,994.6
263,1002.1
264,1005.0
265,1006.2
266,1017.2
267,1019.7
268,1023.0
269,1026.1
270,1027.9
271,1035.4
272,1036.6
273,1039.0
274,1044.0
275,1045.6
276,1047.9
277,1049.7
278,1052.9
279,1054.0
280,1055.2
281,1058.8
282,1066.2
283,1071.3
284,1074.7
285,1080.0
286,1082.2
287,1085.6
288,1092.1
289,1100.2
290,1102.5
291,1106.6
292,1111.0
293,1112.0
294,1114.2
295,1117.5
296,1125.4
297,1127.6
298,1130.4
299,1134.4
300,1137.3
301,1141.0
302,1141.8
303,1142.6
304,1145.3
305,1150.3
306,1153.9
307,1155.9
308,1159.1
309,1160.0
310,1164.4
311,1165.9
312,1168.1
313,1170.2
314,1174.7
315,1175.6
316,1176.5
317,1177.3
318,1178.9
319,1180.4
320,1181.4
321,1183.3
322,1186.0
323,1187.9
324,1191.6
325,1196.1
326,1198.6
327,1200.8
328,1204.1
329,1205.3
330,1206.9
331,1209.2
332,1213.1
333,1214.8
334,1219.2
335,1220.9
336,1222.9
337,1225.4
338,1227.0
339,1233.6
340,1235.3
341,1241.0
342,1242.5
343,1248.0
344,1252.6
345,1256.1
346,1257.1
347,1258.9
348,1265.0
349,1268.8
350,1274.2
351,1276.4
352,1278.3
353,1279.1
354,1280.2
355,1281.0
356,1281.9
357,1282.7
358,1283.7
359,1286.2
