Type,Valeur
Seuil de d�tection,40.0
Dur�e totale (secondes),1367.7
Nombre de cuts,417
Fr�quence (cuts/minute),18.29
Temps moyen entre cuts (secondes),3.3
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),31.4

Liste des cuts
Num�ro,Timestamp
1,6.8
2,9.3
3,11.6
4,13.4
5,14.5
6,16.9
7,18.2
8,20.1
9,25.5
10,27.2
11,30.2
12,33.7
13,35.7
14,37.0
15,38.1
16,41.1
17,42.4
18,44.9
19,46.8
20,54.5
21,56.9
22,60.3
23,64.9
24,66.7
25,69.9
26,76.6
27,87.2
28,89.3
29,92.8
30,96.0
31,98.5
32,100.9
33,107.2
34,111.1
35,119.7
36,123.0
37,142.7
38,148.3
39,167.7
40,177.4
41,179.4
42,188.2
43,219.6
44,222.9
45,228.0
46,230.4
47,235.9
48,237.7
49,239.2
50,245.1
51,249.0
52,252.2
53,254.9
54,259.0
55,261.0
56,268.3
57,269.2
58,271.3
59,275.0
60,277.4
61,281.0
62,287.0
63,290.2
64,293.9
65,294.9
66,299.2
67,301.6
68,306.9
69,309.5
70,316.5
71,321.0
72,322.4
73,326.5
74,328.3
75,331.2
76,333.1
77,335.7
78,339.8
79,343.9
80,347.7
81,353.4
82,357.5
83,362.3
84,364.6
85,370.0
86,373.7
87,377.9
88,380.5
89,382.8
90,385.1
91,404.1
92,408.8
93,413.1
94,414.2
95,417.7
96,428.3
97,435.4
98,436.6
99,438.1
100,439.7
101,442.6
102,447.3
103,449.0
104,450.6
105,452.0
106,453.9
107,455.6
108,457.4
109,463.2
110,466.8
111,469.8
112,475.4
113,478.2
114,482.1
115,488.0
116,493.1
117,497.4
118,504.0
119,509.9
120,516.7
121,519.7
122,522.8
123,524.0
124,525.5
125,526.5
126,530.5
127,532.2
128,535.2
129,542.4
130,545.6
131,551.3
132,558.8
133,560.8
134,563.6
135,564.6
136,567.7
137,569.8
138,573.2
139,578.7
140,585.5
141,590.0
142,591.5
143,595.5
144,599.6
145,600.4
146,601.5
147,603.7
148,606.5
149,607.8
150,609.7
151,613.3
152,615.1
153,617.0
154,619.3
155,621.0
156,624.7
157,628.4
158,631.1
159,632.6
160,637.5
161,639.0
162,640.6
163,644.6
164,646.1
165,647.8
166,651.9
167,659.6
168,665.3
169,667.2
170,668.1
171,669.6
172,672.4
173,677.2
174,679.2
175,681.3
176,682.4
177,685.1
178,686.5
179,687.8
180,691.1
181,692.5
182,696.1
183,699.9
184,703.6
185,706.1
186,708.5
187,712.6
188,714.0
189,718.5
190,722.0
191,723.9
192,728.2
193,731.8
194,733.2
195,738.9
196,741.5
197,743.5
198,748.3
199,752.8
200,754.1
201,756.8
202,758.1
203,759.0
204,762.1
205,764.5
206,771.3
207,772.4
208,774.3
209,778.4
210,781.5
211,783.0
212,785.6
213,788.3
214,789.6
215,795.0
216,797.0
217,800.6
218,806.1
219,807.5
220,810.5
221,816.1
222,819.4
223,822.3
224,826.9
225,829.8
226,831.9
227,832.9
228,834.0
229,837.4
230,848.0
231,849.9
232,852.3
233,854.1
234,860.7
235,865.2
236,866.9
237,869.8
238,873.4
239,876.7
240,882.5
241,883.8
242,889.2
243,891.7
244,893.1
245,895.3
246,899.9
247,907.5
248,910.9
249,913.1
250,916.3
251,920.6
252,922.8
253,924.7
254,925.7
255,928.7
256,932.7
257,935.2
258,936.5
259,938.3
260,941.5
261,943.5
262,948.2
263,949.4
264,950.2
265,951.3
266,953.6
267,957.6
268,959.9
269,962.4
270,968.8
271,973.6
272,975.6
273,977.1
274,981.4
275,985.0
276,988.4
277,990.8
278,996.3
279,998.5
280,1000.0
281,1007.0
282,1009.6
283,1015.2
284,1017.3
285,1020.1
286,1021.7
287,1024.3
288,1028.7
289,1033.7
290,1035.9
291,1038.0
292,1040.0
293,1045.1
294,1047.2
295,1051.3
296,1052.7
297,1056.8
298,1058.2
299,1070.0
300,1072.8
301,1074.3
302,1079.8
303,1082.5
304,1083.4
305,1085.0
306,1089.5
307,1091.9
308,1093.6
309,1095.9
310,1097.6
311,1099.1
312,1100.6
313,1103.2
314,1105.2
315,1106.1
316,1107.1
317,1108.4
318,1109.8
319,1111.7
320,1113.9
321,1118.5
322,1119.7
323,1123.6
324,1125.9
325,1127.0
326,1127.9
327,1130.1
328,1131.2
329,1133.9
330,1136.3
331,1137.9
332,1141.2
333,1142.4
334,1143.9
335,1145.5
336,1147.7
337,1149.2
338,1151.8
339,1154.1
340,1155.6
341,1157.3
342,1158.3
343,1159.5
344,1166.9
345,1170.1
346,1174.8
347,1175.9
348,1177.2
349,1180.6
350,1184.5
351,1187.7
352,1191.3
353,1194.5
354,1197.3
355,1202.4
356,1215.2
357,1216.8
358,1220.2
359,1222.5
360,1223.6
361,1225.2
362,1227.7
363,1229.9
364,1231.7
365,1235.1
366,1237.2
367,1239.1
368,1240.4
369,1242.5
370,1247.1
371,1248.3
372,1251.4
373,1255.5
374,1257.6
375,1261.5
376,1263.0
377,1264.9
378,1265.8
379,1266.7
380,1268.5
381,1271.2
382,1273.0
383,1274.6
384,1276.4
385,1277.6
386,1280.0
387,1281.5
388,1282.8
389,1285.1
390,1287.2
391,1288.3
392,1289.6
393,1290.9
394,1293.2
395,1296.3
396,1300.5
397,1303.7
398,1308.3
399,1312.1
400,1313.9
401,1314.9
402,1316.0
403,1317.3
404,1319.7
405,1322.1
406,1325.4
407,1328.0
408,1330.4
409,1334.2
410,1335.7
411,1337.3
412,1342.2
413,1348.3
414,1357.6
415,1359.7
416,1364.1
417,1367.0
