Type,Valeur
Seuil de détection,18.0
Durée totale (secondes),955.5
Nombre de cuts,168
Fréquence (cuts/minute),10.55
Temps moyen entre cuts (secondes),5.0
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),34.3

Liste des cuts
Numéro,Timestamp
1,2.6
2,15.0
3,41.3
4,47.5
5,53.9
6,78.3
7,83.0
8,84.8
9,86.8
10,93.8
11,95.8
12,99.1
13,102.2
14,115.1
15,117.6
16,119.1
17,121.6
18,123.6
19,130.0
20,164.3
21,166.3
22,172.2
23,174.4
24,179.1
25,183.8
26,186.0
27,191.2
28,192.9
29,196.2
30,198.2
31,200.2
32,214.9
33,217.5
34,220.9
35,221.8
36,222.7
37,225.2
38,234.1
39,237.6
40,251.2
41,253.2
42,266.4
43,269.3
44,281.1
45,287.5
46,288.5
47,305.3
48,313.9
49,317.5
50,329.2
51,335.4
52,345.1
53,347.3
54,361.6
55,368.8
56,374.1
57,379.9
58,382.9
59,385.7
60,387.1
61,392.2
62,394.7
63,397.6
64,400.3
65,402.7
66,404.0
67,405.5
68,411.2
69,414.4
70,415.3
71,423.4
72,425.1
73,430.8
74,433.7
75,435.8
76,441.7
77,446.6
78,448.4
79,452.3
80,453.1
81,459.5
82,463.6
83,469.0
84,473.5
85,475.9
86,479.8
87,481.7
88,483.8
89,487.4
90,490.8
91,493.5
92,499.8
93,502.3
94,504.3
95,508.2
96,510.3
97,516.1
98,518.9
99,522.4
100,523.2
101,524.0
102,529.1
103,532.9
104,538.2
105,543.5
106,545.8
107,552.5
108,558.5
109,559.5
110,579.0
111,585.0
112,596.7
113,597.9
114,598.8
115,621.2
116,626.4
117,630.7
118,640.4
119,643.1
120,644.1
121,644.9
122,658.8
123,659.8
124,664.9
125,666.0
126,670.2
127,671.9
128,674.9
129,680.1
130,687.7
131,691.3
132,693.3
133,695.3
134,699.5
135,707.8
136,709.7
137,713.7
138,716.9
139,725.4
140,728.2
141,729.6
142,732.4
143,736.8
144,738.4
145,740.8
146,745.4
147,750.9
148,756.4
149,761.8
150,765.5
151,774.0
152,778.6
153,787.5
154,790.5
155,791.5
156,795.3
157,798.0
158,799.9
159,803.0
160,804.9
161,808.1
162,810.1
163,811.1
164,813.1
165,817.1
166,823.6
167,829.6
168,830.5
