Type,Valeur
Seuil de détection,23.0
Durée totale (secondes),1102.9
Nombre de cuts,171
Fréquence (cuts/minute),9.30
Temps moyen entre cuts (secondes),6.3
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),64.8

Liste des cuts
Numéro,Timestamp
1,23.7
2,32.1
3,35.4
4,38.1
5,41.6
6,43.0
7,46.9
8,52.4
9,53.8
10,59.2
11,61.4
12,64.3
13,65.7
14,76.2
15,89.8
16,91.0
17,97.3
18,98.4
19,99.6
20,103.7
21,115.3
22,118.7
23,149.9
24,156.6
25,165.0
26,167.1
27,168.9
28,171.7
29,173.7
30,175.9
31,178.9
32,185.2
33,187.7
34,191.5
35,206.5
36,208.3
37,217.4
38,239.3
39,241.7
40,245.6
41,247.4
42,248.2
43,286.0
44,287.1
45,322.4
46,334.4
47,399.2
48,401.3
49,404.1
50,406.3
51,408.0
52,429.2
53,433.5
54,436.6
55,442.6
56,444.6
57,447.2
58,462.3
59,465.2
60,466.9
61,470.2
62,477.7
63,485.5
64,488.7
65,497.4
66,498.4
67,500.5
68,516.2
69,520.7
70,525.2
71,535.9
72,541.7
73,557.0
74,558.1
75,568.9
76,587.0
77,588.7
78,603.4
79,607.3
80,609.8
81,612.2
82,618.0
83,620.3
84,630.0
85,632.0
86,639.6
87,646.2
88,649.1
89,651.7
90,655.8
91,662.9
92,671.4
93,672.6
94,686.9
95,688.8
96,695.7
97,703.8
98,707.8
99,708.9
100,711.3
101,714.2
102,718.2
103,725.6
104,730.1
105,732.3
106,736.4
107,738.2
108,741.2
109,745.4
110,746.5
111,753.6
112,755.8
113,758.1
114,762.7
115,764.1
116,767.5
117,769.1
118,771.2
119,773.9
120,776.9
121,779.4
122,784.1
123,787.4
124,794.4
125,798.0
126,805.1
127,808.1
128,812.0
129,812.9
130,820.1
131,828.1
132,829.0
133,836.0
134,840.0
135,851.6
136,858.5
137,860.0
138,881.9
139,885.2
140,891.1
141,893.7
142,901.8
143,904.8
144,914.1
145,917.4
146,919.6
147,922.6
148,947.1
149,955.2
150,958.5
151,961.2
152,971.1
153,973.4
154,984.3
155,989.0
156,1010.6
157,1015.0
158,1021.8
159,1027.2
160,1030.4
161,1039.3
162,1046.9
163,1059.9
164,1062.0
165,1065.3
166,1069.2
167,1074.6
168,1084.5
169,1086.2
170,1099.1
171,1102.3
