Type,Valeur
Seuil de détection,25.0
Durée totale (secondes),419.6
Nombre de cuts,70
Fréquence (cuts/minute),10.01
Temps moyen entre cuts (secondes),6.0
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),39.8

Liste des cuts
Numéro,Timestamp
1,1.1
2,2.5
3,3.6
4,6.1
5,11.6
6,18.3
7,26.2
8,31.2
9,36.3
10,43.2
11,47.3
12,87.1
13,102.0
14,106.4
15,117.6
16,120.1
17,125.2
18,139.2
19,141.4
20,142.8
21,162.8
22,176.4
23,179.7
24,180.9
25,186.1
26,188.0
27,190.9
28,196.9
29,197.8
30,198.7
31,205.7
32,206.6
33,207.5
34,208.4
35,209.2
36,210.2
37,211.3
38,228.6
39,234.9
40,237.1
41,237.9
42,239.3
43,240.1
44,240.9
45,252.0
46,254.2
47,259.3
48,271.4
49,283.1
50,284.9
51,286.7
52,289.5
53,291.7
54,305.0
55,311.0
56,339.0
57,347.2
58,349.6
59,359.2
60,360.0
61,362.1
62,368.5
63,373.7
64,383.2
65,398.7
66,402.5
67,404.8
68,407.3
69,409.6
70,418.5
