Type,Valeur
Seuil de détection,30.0
Durée totale (secondes),1135.7
Nombre de cuts,207
Fréquence (cuts/minute),10.94
Temps moyen entre cuts (secondes),5.3
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),46.6

Liste des cuts
Numéro,Timestamp
1,17.0
2,34.8
3,42.8
4,53.5
5,56.6
6,62.8
7,66.9
8,70.2
9,72.4
10,77.3
11,83.0
12,87.0
13,91.4
14,97.9
15,105.4
16,107.4
17,115.4
18,117.5
19,125.8
20,128.8
21,129.9
22,132.6
23,135.6
24,137.4
25,155.5
26,163.2
27,167.8
28,172.4
29,179.5
30,186.6
31,191.0
32,193.0
33,197.0
34,200.3
35,204.4
36,206.6
37,214.1
38,217.7
39,220.0
40,221.5
41,223.9
42,228.7
43,232.2
44,233.1
45,243.9
46,245.9
47,250.5
48,252.5
49,255.7
50,261.1
51,268.1
52,270.9
53,273.3
54,281.4
55,285.8
56,304.0
57,305.5
58,311.2
59,319.5
60,330.5
61,336.2
62,344.2
63,349.2
64,352.4
65,359.4
66,381.8
67,397.4
68,412.1
69,415.7
70,418.7
71,421.3
72,424.3
73,430.1
74,435.0
75,436.7
76,444.2
77,450.6
78,453.0
79,456.5
80,462.6
81,478.6
82,481.0
83,484.4
84,488.5
85,495.0
86,497.6
87,499.2
88,501.5
89,505.8
90,509.4
91,511.1
92,518.5
93,526.5
94,531.8
95,537.3
96,549.2
97,552.2
98,561.6
99,565.6
100,571.2
101,577.6
102,580.6
103,583.5
104,585.1
105,590.9
106,595.0
107,600.4
108,603.7
109,606.2
110,618.3
111,621.3
112,622.8
113,629.5
114,631.9
115,633.9
116,637.6
117,639.0
118,641.1
119,644.6
120,646.7
121,648.8
122,650.1
123,656.6
124,667.5
125,669.7
126,676.6
127,679.8
128,684.0
129,687.9
130,694.9
131,698.6
132,701.2
133,708.9
134,715.0
135,717.4
136,719.2
137,722.0
138,724.5
139,735.3
140,737.1
141,739.3
142,741.0
143,743.2
144,789.7
145,793.6
146,794.9
147,796.2
148,799.6
149,804.0
150,807.0
151,811.8
152,814.5
153,824.7
154,827.7
155,845.7
156,848.6
157,851.4
158,854.1
159,855.7
160,859.4
161,861.8
162,866.4
163,881.4
164,882.8
165,884.3
166,887.7
167,891.3
168,894.1
169,897.4
170,903.4
171,908.8
172,913.0
173,915.1
174,916.5
175,925.1
176,939.0
177,943.4
178,947.4
179,952.8
180,956.1
181,957.0
182,959.3
183,969.4
184,973.9
185,979.0
186,981.6
187,984.6
188,986.1
189,989.0
190,992.4
191,995.2
192,998.2
193,1001.3
194,1031.0
195,1036.3
196,1041.3
197,1044.4
198,1045.4
199,1054.3
200,1059.4
201,1063.0
202,1066.2
203,1073.5
204,1075.4
205,1087.0
206,1109.7
207,1113.2
