Type,Valeur
Seuil de détection,30.0
Durée totale (secondes),1133.9
Nombre de cuts,226
Fréquence (cuts/minute),11.96
Temps moyen entre cuts (secondes),4.9
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),29.8

Liste des cuts
Numéro,Timestamp
1,1.9
2,16.5
3,23.9
4,25.4
5,34.2
6,42.3
7,52.9
8,56.1
9,62.2
10,66.5
11,69.8
12,71.9
13,76.9
14,82.4
15,86.4
16,90.9
17,97.3
18,104.9
19,106.9
20,114.8
21,116.9
22,125.2
23,128.3
24,129.2
25,130.1
26,132.0
27,133.8
28,135.1
29,136.8
30,143.8
31,155.0
32,162.7
33,167.3
34,171.9
35,179.0
36,186.1
37,190.5
38,192.5
39,196.5
40,199.7
41,203.9
42,206.0
43,210.9
44,213.6
45,217.2
46,219.4
47,221.0
48,223.4
49,228.2
50,231.7
51,232.6
52,243.4
53,244.8
54,245.7
55,250.0
56,252.0
57,255.2
58,260.6
59,267.6
60,270.4
61,272.8
62,280.9
63,285.3
64,298.4
65,300.2
66,303.5
67,304.9
68,310.6
69,319.0
70,330.0
71,335.6
72,343.6
73,348.6
74,351.8
75,358.9
76,361.0
77,381.3
78,396.8
79,403.5
80,407.1
81,411.6
82,415.2
83,418.3
84,420.8
85,423.7
86,429.6
87,434.5
88,436.1
89,443.6
90,450.0
91,452.5
92,455.9
93,459.0
94,461.9
95,478.1
96,480.4
97,483.9
98,488.0
99,494.5
100,497.0
101,498.7
102,501.0
103,505.2
104,508.8
105,510.6
106,517.9
107,526.0
108,531.2
109,536.8
110,541.4
111,548.6
112,551.6
113,561.1
114,564.7
115,570.7
116,577.1
117,580.0
118,583.0
119,584.6
120,590.4
121,591.7
122,594.4
123,599.9
124,603.2
125,605.6
126,617.8
127,620.7
128,622.2
129,629.0
130,631.4
131,633.5
132,637.1
133,638.5
134,640.6
135,644.1
136,646.2
137,648.2
138,649.6
139,656.1
140,667.0
141,669.2
142,676.1
143,679.3
144,683.5
145,687.3
146,694.4
147,698.0
148,700.7
149,708.4
150,714.5
151,716.9
152,718.6
153,721.5
154,723.9
155,736.6
156,738.7
157,740.4
158,742.6
159,768.9
160,772.5
161,789.3
162,793.0
163,794.3
164,795.7
165,799.0
166,803.4
167,806.4
168,811.3
169,813.9
170,824.1
171,827.2
172,838.3
173,845.2
174,848.1
175,850.9
176,853.5
177,855.1
178,858.9
179,861.3
180,865.9
181,880.9
182,882.3
183,883.9
184,887.2
185,890.8
186,893.6
187,896.9
188,902.8
189,908.3
190,912.5
191,914.6
192,915.8
193,924.6
194,938.5
195,942.8
196,947.0
197,952.3
198,955.6
199,956.4
200,958.7
201,968.9
202,973.3
203,978.5
204,981.1
205,984.1
206,985.3
207,986.1
208,988.4
209,991.8
210,994.6
211,997.6
212,1000.7
213,1030.5
214,1035.8
215,1040.8
216,1043.8
217,1044.9
218,1053.8
219,1059.0
220,1062.4
221,1065.7
222,1072.9
223,1074.8
224,1086.4
225,1109.2
226,1112.7
