Type,Valeur
Seuil de détection,30.0
Durée totale (secondes),1423.4
Nombre de cuts,392
Fréquence (cuts/minute),16.52
Temps moyen entre cuts (secondes),3.6
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),20.0

Liste des cuts
Numéro,Timestamp
1,2.8
2,3.6
3,4.8
4,5.6
5,6.7
6,7.6
7,10.1
8,12.4
9,13.5
10,14.8
11,15.9
12,16.8
13,18.1
14,19.0
15,20.1
16,21.7
17,22.8
18,23.9
19,25.4
20,26.5
21,27.7
22,30.6
23,31.5
24,32.6
25,34.2
26,35.1
27,37.3
28,41.1
29,54.5
30,60.7
31,64.0
32,68.9
33,72.9
34,82.0
35,88.3
36,93.4
37,96.9
38,98.3
39,100.0
40,101.5
41,104.6
42,108.4
43,109.2
44,110.1
45,110.9
46,113.3
47,114.7
48,115.8
49,117.4
50,119.3
51,121.3
52,123.7
53,125.6
54,126.5
55,127.8
56,130.3
57,132.2
58,134.6
59,136.2
60,139.6
61,140.6
62,141.7
63,142.9
64,144.2
65,145.6
66,147.6
67,149.8
68,153.2
69,157.7
70,166.7
71,175.6
72,178.4
73,183.3
74,188.3
75,190.9
76,210.9
77,212.1
78,213.9
79,219.2
80,221.0
81,227.5
82,237.5
83,245.1
84,247.3
85,249.5
86,250.5
87,252.0
88,253.4
89,254.8
90,260.2
91,264.1
92,267.1
93,268.6
94,275.3
95,283.2
96,286.7
97,295.0
98,304.4
99,306.3
100,312.6
101,314.7
102,320.2
103,323.6
104,333.2
105,344.8
106,350.7
107,354.8
108,357.4
109,361.2
110,362.7
111,364.0
112,365.8
113,367.8
114,368.9
115,370.8
116,378.2
117,384.5
118,389.8
119,391.9
120,393.6
121,395.1
122,398.5
123,405.5
124,408.1
125,409.7
126,411.7
127,414.3
128,417.4
129,423.4
130,425.3
131,428.7
132,433.1
133,443.6
134,444.9
135,449.1
136,451.8
137,453.9
138,455.9
139,460.1
140,466.2
141,472.8
142,477.8
143,489.8
144,491.2
145,494.2
146,506.0
147,508.6
148,509.8
149,511.3
150,514.0
151,516.5
152,518.0
153,519.9
154,521.4
155,523.8
156,526.6
157,528.5
158,531.3
159,535.5
160,538.0
161,544.4
162,547.2
163,550.9
164,554.0
165,571.8
166,573.9
167,583.1
168,590.0
169,593.8
170,598.5
171,600.4
172,609.0
173,624.4
174,630.8
175,634.1
176,636.1
177,640.7
178,649.5
179,653.0
180,654.1
181,655.2
182,656.5
183,658.2
184,659.6
185,670.4
186,680.1
187,693.7
188,696.4
189,698.9
190,702.5
191,709.7
192,716.5
193,727.2
194,728.9
195,731.1
196,737.7
197,740.0
198,741.5
199,744.0
200,746.3
201,748.5
202,750.5
203,752.6
204,759.4
205,761.3
206,764.2
207,766.5
208,768.0
209,769.6
210,770.4
211,771.6
212,774.9
213,779.3
214,782.6
215,792.7
216,795.5
217,800.2
218,804.2
219,805.0
220,806.0
221,808.0
222,809.2
223,815.6
224,819.0
225,822.3
226,825.9
227,833.0
228,833.8
229,838.1
230,846.0
231,852.8
232,860.8
233,863.6
234,873.3
235,877.4
236,881.3
237,882.9
238,883.8
239,886.1
240,887.6
241,888.6
242,890.3
243,892.1
244,894.1
245,896.6
246,898.4
247,899.3
248,900.7
249,903.1
250,905.0
251,907.4
252,909.0
253,912.4
254,913.4
255,914.5
256,915.8
257,917.1
258,918.5
259,920.4
260,928.1
261,936.6
262,938.7
263,943.2
264,946.7
265,947.6
266,950.5
267,951.5
268,952.4
269,953.5
270,955.0
271,956.6
272,958.1
273,961.5
274,965.8
275,970.8
276,977.1
277,979.0
278,982.6
279,986.8
280,992.8
281,994.7
282,998.4
283,1002.0
284,1003.4
285,1006.4
286,1014.1
287,1015.1
288,1019.0
289,1025.3
290,1030.0
291,1031.7
292,1036.3
293,1041.1
294,1045.5
295,1046.9
296,1049.6
297,1050.8
298,1055.4
299,1059.0
300,1059.8
301,1062.8
302,1067.9
303,1068.7
304,1070.8
305,1073.5
306,1076.4
307,1086.1
308,1089.7
309,1093.5
310,1095.1
311,1100.7
312,1109.1
313,1115.7
314,1130.5
315,1134.9
316,1138.5
317,1141.0
318,1143.3
319,1148.5
320,1150.5
321,1166.3
322,1170.7
323,1174.1
324,1175.7
325,1177.0
326,1184.0
327,1185.6
328,1192.6
329,1194.6
330,1197.5
331,1202.9
332,1205.3
333,1208.1
334,1209.5
335,1213.7
336,1216.9
337,1218.8
338,1222.2
339,1226.4
340,1228.9
341,1229.9
342,1233.6
343,1236.9
344,1242.8
345,1245.9
346,1248.4
347,1252.4
348,1254.4
349,1258.6
350,1269.1
351,1276.2
352,1278.1
353,1279.4
354,1286.1
355,1290.7
356,1296.0
357,1298.9
358,1300.7
359,1304.1
360,1315.0
361,1317.1
362,1318.6
363,1321.3
364,1323.0
365,1326.2
366,1328.8
367,1332.9
368,1333.8
369,1334.9
370,1336.9
371,1339.3
372,1342.5
373,1344.0
374,1346.4
375,1349.0
376,1354.3
377,1356.2
378,1357.0
379,1368.2
380,1370.5
381,1372.8
382,1378.8
383,1382.0
384,1392.4
385,1401.4
386,1404.0
387,1406.3
388,1408.7
389,1412.9
390,1415.8
391,1419.9
392,1421.5
