Type,Valeur
Seuil de détection,15.0
Durée totale (secondes),5545.0
Nombre de cuts,1358
Fréquence (cuts/minute),14.69
Temps moyen entre cuts (secondes),4.0
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),90.2

Liste des cuts
Numéro,Timestamp
1,30.3
2,31.7
3,32.6
4,33.4
5,34.3
6,35.5
7,45.0
8,67.5
9,68.4
10,69.2
11,96.2
12,99.2
13,105.0
14,108.0
15,109.3
16,112.5
17,116.8
18,118.9
19,120.3
20,123.2
21,126.3
22,127.3
23,128.3
24,129.4
25,130.5
26,132.2
27,133.2
28,135.9
29,141.1
30,142.4
31,143.7
32,146.1
33,148.6
34,151.1
35,154.9
36,156.1
37,160.9
38,163.6
39,164.6
40,178.6
41,182.4
42,206.6
43,220.9
44,228.4
45,230.5
46,234.5
47,248.3
48,249.3
49,255.0
50,256.2
51,257.3
52,260.4
53,262.5
54,265.1
55,266.0
56,266.8
57,269.7
58,272.3
59,274.2
60,276.3
61,279.3
62,280.4
63,281.3
64,282.4
65,285.3
66,286.6
67,287.4
68,288.7
69,289.8
70,291.5
71,292.4
72,293.9
73,294.8
74,296.3
75,297.4
76,299.1
77,300.4
78,302.1
79,303.1
80,303.9
81,306.5
82,308.0
83,309.2
84,316.2
85,317.3
86,319.6
87,322.0
88,331.1
89,334.8
90,337.8
91,342.4
92,345.8
93,348.1
94,381.9
95,384.6
96,418.5
97,419.8
98,421.4
99,422.9
100,424.0
101,425.4
102,427.6
103,430.3
104,433.6
105,449.3
106,452.1
107,457.3
108,458.7
109,462.7
110,464.5
111,466.6
112,468.3
113,476.2
114,478.5
115,480.4
116,488.8
117,496.5
118,501.9
119,506.5
120,514.5
121,526.1
122,527.9
123,530.6
124,532.2
125,538.0
126,541.0
127,543.9
128,545.5
129,547.1
130,549.2
131,551.3
132,552.9
133,554.3
134,557.1
135,559.1
136,560.7
137,563.7
138,565.7
139,567.2
140,575.5
141,576.8
142,581.1
143,582.6
144,585.0
145,586.4
146,588.3
147,590.8
148,594.0
149,594.9
150,595.7
151,596.5
152,599.8
153,602.9
154,603.7
155,608.5
156,625.0
157,629.5
158,639.0
159,642.8
160,647.8
161,658.6
162,671.7
163,697.7
164,706.6
165,707.4
166,708.3
167,711.3
168,712.2
169,713.1
170,716.5
171,717.3
172,718.2
173,719.0
174,719.8
175,724.9
176,725.7
177,726.7
178,727.5
179,728.4
180,729.2
181,730.1
182,730.9
183,731.7
184,732.6
185,733.5
186,734.3
187,735.1
188,735.9
189,736.9
190,737.7
191,738.6
192,746.2
193,747.1
194,757.4
195,788.8
196,790.5
197,792.7
198,797.3
199,799.6
200,804.0
201,807.8
202,810.1
203,812.8
204,814.7
205,817.5
206,818.3
207,822.1
208,824.4
209,826.4
210,831.1
211,832.7
212,837.9
213,840.2
214,845.2
215,846.5
216,850.4
217,865.0
218,876.9
219,878.2
220,888.7
221,892.4
222,893.8
223,897.5
224,902.1
225,906.6
226,909.3
227,911.4
228,914.1
229,915.2
230,917.6
231,918.4
232,927.0
233,934.1
234,936.6
235,938.3
236,940.0
237,941.5
238,943.6
239,945.5
240,947.7
241,949.4
242,952.0
243,953.3
244,954.9
245,955.9
246,957.2
247,958.9
248,961.8
249,967.2
250,970.2
251,971.9
252,972.8
253,974.1
254,975.1
255,978.0
256,979.4
257,981.4
258,982.7
259,985.9
260,988.0
261,990.1
262,993.0
263,999.6
264,1000.4
265,1003.8
266,1004.9
267,1010.4
268,1011.6
269,1013.1
270,1014.2
271,1016.4
272,1017.9
273,1022.3
274,1023.3
275,1026.0
276,1028.6
277,1031.3
278,1033.0
279,1035.5
280,1039.7
281,1041.1
282,1042.5
283,1046.6
284,1047.8
285,1059.0
286,1061.5
287,1062.9
288,1072.4
289,1074.8
290,1076.2
291,1077.8
292,1079.8
293,1092.3
294,1096.0
295,1097.5
296,1119.9
297,1122.3
298,1124.2
299,1127.4
300,1130.9
301,1133.9
302,1135.6
303,1137.6
304,1139.9
305,1143.4
306,1148.6
307,1153.7
308,1156.6
309,1159.2
310,1162.6
311,1165.2
312,1167.5
313,1169.2
314,1172.0
315,1178.2
316,1182.0
317,1183.4
318,1184.4
319,1187.4
320,1193.9
321,1206.6
322,1211.9
323,1214.0
324,1236.6
325,1239.2
326,1253.0
327,1256.2
328,1258.6
329,1262.0
330,1263.3
331,1268.9
332,1279.8
333,1282.2
334,1283.4
335,1290.8
336,1297.7
337,1299.4
338,1300.8
339,1301.9
340,1307.1
341,1311.5
342,1322.5
343,1325.3
344,1330.3
345,1342.9
346,1347.6
347,1348.4
348,1349.5
349,1351.1
350,1352.3
351,1353.4
352,1355.6
353,1384.8
354,1388.0
355,1390.0
356,1394.6
357,1395.9
358,1397.5
359,1407.8
360,1410.6
361,1415.3
362,1417.1
363,1424.9
364,1432.5
365,1440.8
366,1446.3
367,1450.0
368,1454.7
369,1455.6
370,1460.4
371,1462.7
372,1470.1
373,1474.9
374,1478.1
375,1480.4
376,1481.2
377,1484.6
378,1488.4
379,1491.7
380,1497.7
381,1502.4
382,1507.6
383,1511.0
384,1512.6
385,1515.4
386,1516.5
387,1519.8
388,1524.0
389,1529.0
390,1532.5
391,1535.1
392,1536.0
393,1538.0
394,1546.6
395,1552.1
396,1553.7
397,1554.6
398,1556.1
399,1563.9
400,1564.8
401,1570.4
402,1572.6
403,1575.9
404,1577.6
405,1580.7
406,1584.7
407,1588.6
408,1590.5
409,1592.4
410,1595.7
411,1600.3
412,1607.9
413,1609.2
414,1610.2
415,1612.9
416,1616.7
417,1619.6
418,1621.7
419,1624.4
420,1626.9
421,1628.2
422,1631.9
423,1633.9
424,1634.7
425,1636.5
426,1637.9
427,1640.8
428,1642.5
429,1643.8
430,1648.7
431,1650.5
432,1653.1
433,1655.9
434,1659.9
435,1670.7
436,1673.1
437,1678.8
438,1689.0
439,1691.1
440,1694.0
441,1701.8
442,1703.0
443,1719.1
444,1720.9
445,1769.1
446,1776.3
447,1780.5
448,1789.5
449,1805.5
450,1809.3
451,1812.2
452,1821.9
453,1823.6
454,1827.3
455,1832.6
456,1842.9
457,1845.3
458,1849.5
459,1914.6
460,1916.9
461,1920.8
462,1924.0
463,1927.2
464,1931.8
465,1934.1
466,1935.4
467,1937.7
468,1945.7
469,1949.3
470,1955.5
471,1963.3
472,1967.4
473,1968.2
474,1969.7
475,1970.6
476,1971.9
477,1974.4
478,1976.6
479,1978.0
480,1979.0
481,1981.5
482,1982.5
483,1983.9
484,1985.5
485,1994.5
486,1999.2
487,2004.5
488,2017.5
489,2018.4
490,2019.4
491,2028.3
492,2029.1
493,2031.7
494,2043.4
495,2050.6
496,2059.3
497,2060.9
498,2061.7
499,2064.5
500,2065.3
501,2068.3
502,2071.8
503,2093.0
504,2100.8
505,2101.7
506,2107.1
507,2111.6
508,2113.1
509,2130.4
510,2132.3
511,2138.8
512,2143.0
513,2151.3
514,2180.4
515,2194.9
516,2198.8
517,2201.6
518,2204.6
519,2209.0
520,2215.9
521,2218.1
522,2224.3
523,2234.1
524,2239.3
525,2241.8
526,2243.5
527,2248.9
528,2254.6
529,2256.5
530,2259.3
531,2262.1
532,2266.9
533,2272.3
534,2274.5
535,2277.4
536,2295.0
537,2297.7
538,2303.4
539,2313.6
540,2329.0
541,2335.9
542,2426.1
543,2433.2
544,2451.3
545,2456.8
546,2465.2
547,2467.1
548,2469.7
549,2479.7
550,2481.0
551,2482.1
552,2484.8
553,2487.1
554,2490.7
555,2507.0
556,2533.5
557,2536.3
558,2540.4
559,2549.0
560,2549.8
561,2551.1
562,2564.6
563,2571.0
564,2578.8
