Type,Valeur
Seuil de détection,30.0
Durée totale (secondes),4762.1
Nombre de cuts,1122
Fréquence (cuts/minute),14.14
Temps moyen entre cuts (secondes),4.2
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),107.6

Liste des cuts
Numéro,Timestamp
1,9.9
2,11.6
3,13.0
4,14.8
5,17.9
6,23.4
7,29.3
8,34.7
9,42.5
10,48.4
11,64.9
12,70.3
13,81.3
14,82.8
15,84.2
16,85.5
17,90.4
18,91.2
19,93.0
20,104.5
21,106.8
22,111.0
23,113.1
24,117.1
25,118.6
26,119.6
27,120.4
28,121.3
29,129.5
30,133.6
31,138.6
32,143.1
33,144.0
34,148.8
35,149.8
36,153.8
37,159.0
38,161.9
39,164.1
40,165.8
41,169.8
42,174.8
43,177.5
44,179.3
45,181.2
46,182.4
47,183.7
48,185.0
49,186.4
50,187.3
51,189.9
52,191.0
53,200.1
54,203.1
55,205.4
56,206.2
57,207.1
58,208.1
59,213.1
60,222.8
61,236.8
62,250.1
63,254.0
64,259.7
65,261.3
66,263.2
67,268.4
68,270.0
69,271.6
70,273.0
71,278.5
72,281.8
73,284.8
74,286.4
75,289.0
76,291.9
77,292.7
78,295.2
79,301.3
80,304.3
81,308.7
82,310.6
83,312.6
84,315.8
85,319.5
86,328.3
87,331.6
88,333.5
89,337.5
90,338.5
91,339.9
92,345.1
93,347.2
94,356.3
95,360.1
96,365.3
97,373.5
98,411.2
99,434.6
100,471.9
101,473.3
102,475.3
103,478.6
104,493.4
105,496.4
106,499.1
107,505.2
108,512.0
109,515.3
110,530.5
111,545.6
112,553.6
113,555.5
114,557.8
115,561.9
116,564.6
117,566.0
118,567.2
119,569.2
120,570.6
121,573.0
122,573.9
123,578.3
124,580.4
125,582.1
126,584.0
127,586.5
128,589.2
129,590.7
130,592.8
131,594.0
132,597.0
133,598.9
134,600.7
135,601.5
136,626.1
137,630.8
138,634.7
139,639.5
140,643.1
141,645.8
142,663.3
143,666.7
144,672.5
145,675.2
146,683.0
147,685.8
148,688.3
149,692.4
150,694.9
151,700.9
152,726.3
153,727.7
154,741.1
155,742.3
156,744.8
157,752.1
158,754.8
159,757.8
160,761.2
161,766.3
162,767.8
163,768.9
164,773.9
165,776.7
166,787.6
167,790.3
168,791.6
169,793.5
170,798.0
171,799.0
172,800.8
173,803.8
174,806.8
175,808.2
176,812.3
177,819.2
178,821.7
179,836.9
180,839.1
181,842.9
182,843.8
183,845.0
184,846.9
185,849.6
186,850.7
187,852.1
188,854.1
189,855.2
190,858.0
191,861.6
192,863.1
193,864.2
194,869.9
195,877.8
196,879.0
197,880.4
198,882.5
199,884.4
200,885.3
201,886.5
202,887.9
203,888.8
204,889.7
205,890.5
206,891.4
207,892.5
208,895.3
209,899.4
210,900.7
211,912.0
212,913.5
213,914.3
214,915.2
215,918.8
216,919.7
217,921.6
218,926.6
219,928.9
220,929.7
221,932.1
222,934.2
223,935.5
224,936.4
225,937.7
226,938.9
227,939.7
228,941.9
229,943.0
230,944.2
231,945.0
232,947.9
233,949.4
234,951.3
235,952.1
236,953.0
237,954.2
238,955.4
239,962.9
240,966.3
241,967.4
242,968.2
243,969.1
244,970.1
245,970.9
246,972.7
247,973.5
248,986.1
249,993.3
250,997.3
251,998.1
252,999.0
253,1000.4
254,1003.8
255,1006.5
256,1009.6
257,1012.6
258,1014.3
259,1019.9
260,1026.7
261,1034.0
262,1039.3
263,1042.4
264,1046.1
265,1046.9
266,1050.5
267,1053.5
268,1055.8
269,1061.2
270,1068.6
271,1070.0
272,1071.2
273,1075.4
274,1076.3
275,1082.3
276,1084.1
277,1088.7
278,1093.8
279,1098.5
280,1100.8
281,1107.2
282,1119.8
283,1120.8
284,1121.7
285,1126.1
286,1129.4
287,1136.4
288,1139.2
289,1140.9
290,1142.6
291,1144.1
292,1144.9
293,1146.7
294,1152.6
295,1160.2
296,1161.8
297,1163.7
298,1166.0
299,1167.3
300,1168.2
301,1169.3
302,1170.3
303,1171.4
304,1172.2
305,1174.0
306,1176.3
307,1177.3
308,1178.1
309,1179.0
310,1179.9
311,1181.3
312,1182.7
313,1183.8
314,1185.6
315,1187.3
316,1188.5
317,1189.5
318,1191.7
319,1192.5
320,1203.0
321,1206.3
322,1210.0
323,1214.2
324,1216.3
325,1217.3
326,1225.7
327,1231.2
328,1234.5
329,1243.8
330,1246.1
331,1248.2
332,1253.5
333,1256.1
334,1257.8
335,1260.5
336,1279.3
337,1282.8
338,1286.3
339,1287.9
340,1290.9
341,1318.0
342,1319.9
343,1331.7
344,1439.3
345,1442.1
346,1445.4
347,1446.5
348,1455.9
349,1458.3
350,1459.9
351,1463.7
352,1473.5
353,1474.6
354,1475.9
355,1482.1
356,1483.7
357,1494.1
358,1498.7
359,1501.8
360,1502.9
361,1509.9
362,1512.0
363,1513.3
364,1516.5
365,1519.8
366,1530.2
367,1533.7
368,1535.1
369,1536.0
370,1539.3
371,1543.2
372,1544.6
373,1547.6
374,1555.3
375,1559.0
376,1562.6
377,1565.4
378,1566.2
379,1569.8
380,1571.6
381,1573.9
382,1575.0
383,1578.7
384,1581.7
385,1583.8
386,1587.3
387,1593.0
388,1594.3
389,1597.2
390,1599.9
391,1603.1
392,1607.0
393,1608.3
394,1609.6
395,1612.3
396,1616.7
397,1618.8
398,1619.7
399,1627.3
400,1630.3
401,1631.1
402,1636.0
403,1636.9
404,1638.0
405,1639.5
406,1640.4
407,1641.4
408,1649.4
409,1653.7
410,1657.4
411,1659.6
412,1664.4
413,1672.1
414,1691.8
415,1693.5
416,1694.7
417,1697.8
418,1708.1
419,1722.4
420,1740.9
421,1741.9
422,1746.4
423,1751.5
424,1752.8
425,1755.2
426,1756.1
427,1772.8
428,1779.5
429,1799.6
430,1812.2
431,1815.2
432,1817.5
433,1827.8
434,1831.7
435,1832.9
436,1834.5
437,1839.6
438,1840.9
439,1843.4
440,1848.7
441,1852.0
442,1856.2
443,1860.7
444,1865.2
445,1866.9
446,1867.9
447,1870.1
448,1873.9
449,1875.8
450,1876.7
451,1877.7
452,1878.8
453,1883.1
454,1885.6
455,1887.4
456,1888.3
457,1891.6
458,1892.4
459,1893.2
460,1894.0
461,1895.0
462,1895.9
463,1896.7
464,1899.1
465,1900.2
466,1901.1
467,1902.9
468,1903.8
469,1904.6
470,1906.8
471,1909.4
472,1914.2
473,1918.8
474,1920.2
475,1921.4
476,1922.3
477,1923.1
478,1924.1
479,1926.2
480,1930.1
481,1933.7
482,1934.8
483,1936.8
484,1939.8
485,1941.2
486,1942.3
487,1943.2
488,1944.0
489,1944.9
490,1945.7
491,1946.7
492,1947.6
493,1949.3
494,1950.1
495,1950.9
496,1951.7
497,1952.6
498,1955.9
499,1956.8
500,1958.7
501,1961.2
502,1962.5
503,1965.7
504,1966.6
505,1967.4
506,1968.6
507,1969.4
508,1970.3
509,1971.9
510,1973.8
511,1975.1
512,1976.5
513,1977.4
514,1978.3
515,1979.2
516,1980.9
517,1990.6
518,1992.1
519,1993.9
520,1996.0
521,1997.3
522,1998.2
523,1999.2
524,2000.5
525,2001.7
526,2007.1
527,2008.4
528,2009.2
529,2011.1
530,2013.5
531,2017.1
532,2042.5
533,2043.7
534,2050.1
535,2057.2
536,2072.6
537,2101.9
538,2121.2
539,2140.2
540,2143.1
541,2145.0
542,2154.3
543,2163.7
544,2165.8
545,2168.1
546,2173.4
547,2175.1
548,2177.6
549,2178.9
550,2181.0
551,2182.8
552,2187.7
553,2198.1
554,2199.1
555,2200.7
556,2203.2
557,2207.2
558,2208.6
559,2210.0
560,2211.1
561,2212.2
562,2213.4
563,2214.7
564,2216.2
565,2217.7
566,2219.0
567,2219.8
568,2221.4
569,2222.6
570,2223.8
571,2224.7
572,2227.8
573,2229.0
574,2230.6
575,2231.8
576,2235.3
577,2236.9
578,2238.0
579,2240.4
580,2243.0
581,2244.1
582,2247.6
583,2251.3
584,2255.3
585,2262.6
586,2282.6
587,2288.3
588,2296.3
589,2336.7
590,2339.5
591,2347.8
592,2351.3
593,2354.5
594,2362.5
595,2366.3
596,2367.8
597,2371.9
598,2378.8
599,2383.1
600,2387.6
601,2388.6
602,2390.2
603,2391.9
604,2393.4
605,2394.5
606,2395.6
607,2396.6
608,2400.8
609,2402.6
610,2407.3
611,2413.6
612,2419.9
613,2423.6
614,2425.9
615,2430.9
616,2437.3
617,2438.7
618,2440.7
619,2442.8
620,2447.5
621,2450.8
622,2452.2
623,2456.7
624,2461.6
625,2464.1
626,2466.8
627,2468.9
628,2470.5
629,2473.1
630,2484.3
631,2491.9
632,2497.2
633,2499.2
634,2505.6
635,2509.5
636,2523.4
637,2525.9
638,2527.5
639,2529.6
640,2532.3
641,2536.5
642,2538.0
643,2549.4
644,2552.1
645,2555.9
646,2556.7
647,2557.7
648,2560.0
649,2562.8
650,2566.1
651,2568.4
652,2570.2
653,2571.1
654,2572.1
655,2575.0
656,2577.0
657,2578.2
658,2579.5
659,2581.0
660,2581.9
661,2583.2
662,2585.7
663,2589.6
664,2591.8
665,2600.8
666,2602.5
667,2607.9
668,2611.2
669,2613.8
670,2618.8
671,2620.5
672,2622.6
673,2624.8
674,2627.5
675,2628.6
676,2629.9
677,2630.9
678,2633.9
679,2636.4
