Type,Valeur
Seuil de détection,40.0
Durée totale (secondes),589.6
Nombre de cuts,130
Fréquence (cuts/minute),13.23
Temps moyen entre cuts (secondes),4.3
Temps minimum entre cuts (secondes),0.9
Temps maximum entre cuts (secondes),38.6

Liste des cuts
Numéro,Timestamp
1,6.5
2,8.9
3,9.9
4,11.8
5,13.3
6,15.0
7,16.2
8,17.1
9,18.1
10,20.2
11,22.0
12,23.5
13,25.3
14,33.7
15,37.1
16,39.7
17,43.7
18,46.2
19,49.8
20,55.0
21,61.4
22,63.1
23,67.7
24,79.1
25,86.3
26,88.3
27,106.0
28,108.7
29,114.2
30,118.6
31,123.5
32,130.3
33,131.8
34,134.9
35,136.2
36,137.4
37,140.0
38,141.9
39,144.5
40,147.8
41,151.5
42,190.1
43,193.6
44,199.0
45,201.1
46,207.7
47,211.9
48,215.8
49,216.8
50,218.1
51,226.5
52,236.2
53,241.9
54,255.0
55,282.7
56,285.3
57,286.9
58,288.2
59,289.9
60,295.7
61,296.7
62,298.1
63,303.2
64,308.1
65,315.9
66,318.8
67,321.5
68,327.6
69,330.0
70,331.7
71,334.3
72,341.2
73,350.0
74,351.2
75,352.9
76,355.6
77,357.9
78,359.3
79,360.9
80,365.6
81,370.0
82,371.2
83,374.1
84,376.4
85,379.7
86,381.7
87,384.5
88,385.6
89,390.0
90,399.8
91,401.4
92,411.5
93,414.1
94,416.5
95,418.4
96,426.5
97,428.6
98,429.5
99,430.6
100,431.8
101,434.3
102,435.6
103,443.3
104,445.1
105,446.2
106,448.1
107,451.2
108,454.9
109,457.4
110,470.5
111,484.5
112,488.1
113,491.8
114,500.7
115,503.9
116,510.5
117,512.5
118,514.9
119,515.9
120,518.2
121,521.8
122,523.7
123,526.9
124,530.6
125,533.7
126,543.6
127,545.8
128,559.6
129,562.8
130,564.7
