Type,Valeur
Seuil de détection,30.0
Durée totale (secondes),689.6
Nombre de cuts,252
Fréquence (cuts/minute),21.93
Temps moyen entre cuts (secondes),2.7
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),13.5

Liste des cuts
Numéro,Timestamp
1,5.0
2,6.4
3,8.6
4,9.5
5,10.4
6,13.9
7,16.4
8,17.9
9,20.0
10,21.3
11,23.5
12,25.4
13,28.3
14,33.3
15,34.3
16,35.9
17,38.8
18,40.6
19,42.1
20,43.6
21,47.8
22,53.3
23,59.6
24,60.7
25,61.8
26,75.1
27,77.1
28,80.2
29,82.3
30,84.9
31,86.8
32,94.0
33,97.2
34,101.7
35,105.9
36,108.7
37,111.3
38,116.2
39,118.4
40,131.9
41,135.6
42,137.5
43,140.1
44,145.5
45,149.3
46,150.7
47,154.2
48,156.6
49,160.7
50,162.1
51,165.3
52,167.5
53,170.9
54,173.5
55,175.1
56,176.5
57,179.8
58,182.5
59,185.8
60,188.0
61,190.1
62,191.7
63,193.0
64,194.9
65,195.7
66,198.1
67,201.0
68,202.0
69,203.9
70,205.1
71,208.1
72,212.2
73,214.9
74,215.8
75,218.6
76,219.6
77,224.0
78,225.2
79,226.1
80,227.4
81,229.3
82,230.3
83,231.2
84,232.2
85,235.8
86,236.8
87,239.9
88,242.2
89,244.0
90,245.0
91,247.1
92,249.8
93,252.3
94,255.0
95,256.9
96,257.9
97,259.3
98,260.8
99,264.6
100,266.5
101,270.9
102,276.1
103,282.3
104,283.9
105,289.3
106,293.6
107,295.6
108,298.1
109,301.3
110,303.9
111,307.4
112,312.0
113,313.9
114,317.4
115,318.9
116,326.2
117,328.8
118,335.4
119,339.8
120,343.2
121,345.1
122,348.0
123,354.2
124,356.7
125,358.4
126,362.5
127,363.4
128,364.5
129,375.0
130,379.4
131,381.1
132,382.2
133,383.4
134,386.0
135,387.1
136,388.4
137,391.4
138,395.0
139,401.3
140,403.5
141,405.2
142,408.1
143,409.4
144,418.0
145,418.9
146,420.9
147,423.7
148,425.1
149,426.4
150,428.1
151,429.3
152,440.1
153,441.7
154,443.4
155,445.9
156,447.9
157,451.8
158,456.3
159,460.5
160,463.2
161,466.1
162,467.3
163,470.6
164,472.8
165,481.7
166,485.5
167,486.8
168,487.9
169,489.5
170,493.1
171,495.9
172,497.3
173,498.1
174,500.8
175,504.2
176,505.9
177,507.2
178,509.6
179,513.1
180,517.0
181,520.6
182,521.6
183,523.6
184,524.4
185,525.7
186,530.8
187,531.7
188,532.6
189,533.4
190,534.3
191,537.3
192,538.6
193,541.2
194,543.1
195,545.4
196,548.0
197,549.9
198,551.8
199,554.5
200,557.2
201,561.7
202,563.4
203,567.3
204,569.3
205,572.3
206,573.1
207,575.0
208,576.3
209,577.6
210,579.0
211,580.8
212,584.5
213,586.9
214,588.4
215,590.6
216,592.4
217,600.6
218,605.8
219,606.6
220,607.6
221,609.1
222,610.9
223,611.9
224,613.0
225,614.6
226,616.0
227,617.9
228,619.3
229,624.7
230,626.1
231,629.5
232,631.8
233,634.0
234,635.1
235,637.0
236,638.9
237,640.0
238,641.2
239,643.8
240,646.3
241,652.7
242,656.3
243,657.8
244,660.2
245,663.1
246,665.9
247,674.1
248,677.2
249,679.5
250,684.4
251,685.3
252,688.3
