Type,Valeur
Seuil de détection,30.0
Durée totale (secondes),785.5
Nombre de cuts,218
Fréquence (cuts/minute),16.65
Temps moyen entre cuts (secondes),3.6
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),28.3

Liste des cuts
Numéro,Timestamp
1,8.3
2,13.1
3,14.7
4,16.5
5,20.9
6,22.0
7,23.8
8,24.7
9,28.4
10,29.7
11,30.6
12,31.4
13,33.2
14,34.7
15,36.2
16,39.0
17,39.9
18,41.1
19,41.9
20,43.0
21,44.6
22,48.3
23,53.8
24,56.9
25,59.4
26,63.2
27,65.2
28,67.4
29,70.0
30,72.9
31,76.0
32,79.0
33,85.3
34,87.7
35,97.3
36,99.6
37,102.5
38,106.7
39,111.9
40,113.3
41,115.0
42,117.3
43,119.8
44,127.3
45,133.1
46,138.6
47,141.0
48,143.4
49,148.8
50,151.0
51,155.0
52,156.3
53,158.4
54,159.3
55,160.7
56,164.1
57,167.6
58,169.1
59,170.6
60,172.2
61,173.7
62,176.0
63,182.7
64,187.2
65,188.0
66,190.7
67,191.7
68,192.6
69,193.6
70,194.6
71,195.6
72,196.5
73,198.9
74,201.2
75,203.2
76,204.3
77,205.2
78,207.1
79,211.9
80,213.5
81,215.4
82,217.7
83,220.2
84,223.0
85,225.2
86,229.5
87,231.8
88,238.3
89,241.9
90,243.4
91,244.9
92,248.3
93,253.0
94,281.3
95,283.3
96,286.2
97,290.9
98,292.7
99,293.6
100,298.0
101,300.6
102,303.0
103,307.8
104,311.2
105,313.4
106,315.9
107,319.6
108,327.6
109,331.9
110,334.7
111,335.5
112,337.6
113,340.3
114,344.3
115,346.6
116,349.8
117,350.7
118,354.5
119,356.3
120,358.3
121,359.3
122,361.6
123,364.0
124,366.6
125,367.6
126,368.6
127,371.1
128,372.6
129,373.7
130,374.9
131,376.4
132,378.7
133,381.9
134,389.6
135,395.9
136,399.6
137,400.9
138,402.4
139,406.8
140,408.3
141,423.8
142,429.2
143,434.9
144,436.7
145,438.5
146,439.7
147,441.4
148,443.5
149,445.7
150,449.2
151,453.2
152,457.9
153,460.6
154,463.1
155,468.4
156,475.3
157,476.6
158,488.7
159,490.2
160,500.8
161,502.6
162,505.7
163,510.3
164,513.1
165,517.5
166,519.6
167,522.1
168,547.0
169,548.4
170,554.4
171,557.8
172,562.9
173,564.7
174,567.5
175,572.8
176,578.1
177,580.6
178,585.9
179,587.7
180,589.0
181,594.0
182,596.7
183,598.2
184,599.8
185,601.7
186,603.8
187,604.7
188,608.8
189,610.5
190,611.4
191,615.8
192,623.6
193,625.4
194,626.5
195,631.8
196,635.5
197,638.0
198,653.6
199,679.7
200,683.4
201,703.2
202,705.8
203,710.8
204,714.5
205,718.4
206,720.2
207,723.5
208,726.4
209,727.8
210,730.5
211,732.2
212,738.8
213,740.3
214,746.8
215,748.5
216,774.9
217,776.9
218,784.4
