Type,Valeur
Seuil de d�tection,40.0
Dur�e totale (secondes),795.1
Nombre de cuts,203
Fr�quence (cuts/minute),15.32
Temps moyen entre cuts (secondes),3.9
Temps minimum entre cuts (secondes),0.9
Temps maximum entre cuts (secondes),26.0

Liste des cuts
Num�ro,Timestamp
1,3.1
2,8.1
3,12.9
4,14.5
5,20.8
6,21.9
7,24.6
8,28.2
9,29.5
10,30.4
11,32.9
12,34.5
13,36.0
14,38.7
15,39.7
16,40.9
17,42.7
18,44.3
19,48.1
20,58.6
21,82.1
22,87.5
23,89.3
24,93.0
25,95.3
26,106.5
27,108.6
28,115.5
29,117.4
30,123.0
31,124.2
32,129.1
33,130.8
34,134.9
35,138.1
36,144.5
37,146.0
38,147.9
39,151.9
40,166.0
41,167.4
42,169.4
43,170.7
44,172.6
45,177.6
46,180.3
47,182.0
48,184.0
49,186.5
50,187.4
51,188.5
52,190.2
53,194.1
54,199.5
55,201.3
56,205.0
57,208.3
58,218.9
59,222.7
60,226.1
61,227.7
62,229.0
63,233.4
64,237.7
65,238.6
66,243.0
67,245.8
68,250.8
69,252.4
70,255.7
71,259.9
72,264.6
73,272.0
74,274.6
75,276.8
76,284.1
77,286.8
78,292.6
79,298.3
80,301.4
81,302.9
82,304.4
83,306.5
84,308.4
85,311.4
86,312.7
87,322.3
88,323.4
89,326.1
90,328.2
91,332.8
92,334.3
93,336.2
94,339.4
95,343.3
96,347.2
97,349.1
98,351.0
99,352.0
100,353.7
101,355.6
102,357.7
103,360.8
104,363.5
105,364.4
106,366.1
107,367.8
108,374.9
109,377.7
110,379.5
111,383.8
112,388.8
113,391.1
114,392.2
115,395.7
116,400.7
117,402.3
118,408.7
119,434.7
120,440.4
121,446.3
122,453.4
123,455.8
124,464.9
125,471.5
126,475.1
127,476.1
128,477.8
129,479.6
130,480.9
131,491.8
132,495.0
133,496.6
134,507.4
135,514.2
136,516.9
137,518.3
138,523.8
139,524.9
140,527.6
141,532.1
142,536.3
143,547.0
144,550.8
145,553.1
146,557.7
147,565.0
148,568.4
149,570.5
150,572.9
151,585.4
152,588.7
153,595.0
154,613.0
155,621.1
156,624.3
157,625.7
158,630.0
159,632.4
160,634.2
161,636.9
162,638.6
163,640.5
164,644.1
165,648.3
166,651.4
167,653.2
168,656.8
169,659.0
170,662.4
171,668.5
172,673.7
173,677.7
174,688.1
175,691.0
176,700.6
177,703.1
178,707.1
179,709.3
180,713.8
181,715.8
182,718.8
183,729.0
184,734.8
185,736.6
186,737.9
187,739.4
188,740.8
189,741.8
190,745.7
191,747.1
192,749.8
193,751.6
194,752.9
195,755.0
196,756.3
197,761.0
198,762.6
199,764.8
200,770.0
201,773.4
202,776.0
203,787.2
