Type,Valeur
Seuil de détection,30.0
Durée totale (secondes),1772.1
Nombre de cuts,451
Fréquence (cuts/minute),15.27
Temps moyen entre cuts (secondes),3.9
Temps minimum entre cuts (secondes),0.8
Temps maximum entre cuts (secondes),29.0

Liste des cuts
Numéro,Timestamp
1,34.1
2,38.3
3,39.1
4,43.1
5,44.7
6,45.5
7,48.9
8,51.2
9,53.5
10,54.8
11,56.8
12,59.6
13,61.2
14,62.5
15,64.9
16,65.8
17,68.0
18,70.4
19,73.0
20,75.9
21,78.0
22,79.4
23,80.8
24,82.7
25,86.5
26,89.6
27,92.8
28,103.0
29,104.9
30,106.9
31,108.6
32,113.4
33,116.6
34,118.4
35,120.8
36,137.0
37,139.4
38,144.5
39,152.3
40,157.5
41,161.5
42,167.2
43,170.0
44,172.6
45,176.4
46,178.7
47,181.5
48,184.2
49,186.2
50,191.5
51,192.6
52,199.3
53,201.9
54,207.9
55,208.8
56,220.0
57,224.8
58,226.5
59,227.5
60,230.9
61,238.4
62,245.8
63,247.5
64,249.8
65,252.6
66,254.3
67,257.1
68,262.4
69,266.6
70,268.1
71,271.0
72,273.2
73,275.3
74,278.2
75,282.6
76,284.6
77,287.5
78,290.4
79,292.0
80,295.8
81,303.2
82,309.5
83,311.6
84,315.3
85,317.0
86,319.0
87,324.8
88,328.0
89,330.9
90,334.3
91,335.9
92,337.1
93,347.3
94,350.5
95,354.2
96,355.7
97,361.6
98,363.9
99,366.6
100,377.8
101,379.6
102,381.7
103,388.8
104,393.3
105,396.3
106,398.4
107,401.7
108,404.3
109,406.4
110,411.3
111,415.4
112,418.9
113,420.9
114,424.4
115,430.7
116,433.7
117,438.3
118,440.9
119,441.9
120,442.9
121,444.2
122,445.2
123,448.7
124,450.5
125,452.8
126,459.4
127,469.6
128,472.9
129,483.0
130,486.4
131,492.5
132,494.9
133,498.0
134,504.6
135,511.6
136,512.4
137,514.2
138,515.7
139,517.4
140,518.7
141,521.2
142,524.7
143,528.1
144,529.6
145,533.0
146,534.8
147,535.6
148,537.1
149,538.0
150,538.9
151,547.3
152,548.2
153,549.4
154,550.6
155,551.8
156,553.9
157,555.6
158,558.2
159,561.1
160,566.2
161,572.0
162,582.7
163,585.4
164,586.7
165,587.8
166,589.7
167,601.9
168,602.9
169,609.6
170,613.1
171,617.7
172,619.5
173,623.1
174,626.6
175,627.8
176,630.5
177,632.3
178,633.5
179,634.7
180,636.7
181,638.7
182,639.5
183,644.1
184,645.7
185,648.0
186,650.1
187,653.6
188,654.8
189,658.7
190,664.1
191,671.1
192,673.0
193,675.0
194,676.0
195,676.9
196,678.5
197,684.0
198,687.7
199,688.9
200,690.6
201,700.1
202,703.1
203,705.4
204,706.2
205,709.4
206,711.2
207,712.2
208,713.2
209,714.1
210,715.5
211,720.4
212,722.4
213,724.7
214,725.7
215,728.6
216,730.3
217,731.9
218,734.8
219,736.5
220,739.2
221,741.2
222,743.7
223,745.5
224,760.9
225,764.8
226,770.6
227,775.2
228,784.1
229,789.2
230,792.4
231,793.9
232,797.9
233,800.6
234,805.2
235,807.8
236,809.9
237,810.9
238,813.2
239,814.9
240,816.1
241,818.4
242,819.9
243,822.2
244,823.9
245,829.9
246,832.2
247,833.4
248,834.6
249,836.9
250,840.9
251,850.3
252,853.9
253,855.4
254,857.2
255,863.7
256,865.9
257,870.8
258,881.3
259,892.5
260,895.9
261,900.5
262,902.1
263,903.9
264,907.2
265,912.6
266,919.9
267,925.5
268,927.6
269,929.3
270,937.2
271,945.3
272,948.5
273,950.6
274,963.3
275,970.9
276,991.9
277,997.0
278,999.1
279,1003.0
280,1006.6
281,1009.6
282,1024.9
283,1033.0
284,1034.3
285,1040.2
286,1045.0
287,1045.8
288,1046.6
289,1047.5
290,1048.4
291,1052.4
292,1080.0
293,1081.1
294,1082.7
295,1084.9
296,1087.9
297,1092.2
298,1093.9
299,1097.0
300,1106.6
301,1121.9
302,1139.0
303,1151.9
304,1156.5
305,1160.6
306,1163.3
307,1164.9
308,1172.9
309,1176.3
310,1179.2
311,1186.9
312,1188.1
313,1190.1
314,1194.3
315,1196.2
316,1198.5
317,1204.1
318,1206.4
319,1210.5
320,1214.5
321,1243.5
322,1247.4
323,1251.5
324,1258.3
325,1264.5
326,1267.8
327,1272.9
328,1276.2
329,1278.1
330,1280.0
331,1281.9
332,1283.5
333,1285.0
334,1286.4
335,1290.9
336,1293.2
337,1294.4
338,1296.0
339,1299.3
340,1303.1
341,1305.1
342,1308.8
343,1310.1
344,1311.7
345,1314.0
346,1317.1
347,1321.4
348,1323.0
349,1326.7
350,1328.3
351,1331.5
352,1334.0
353,1338.4
354,1344.0
355,1345.7
356,1347.6
357,1350.5
358,1353.4
359,1354.6
360,1360.8
361,1363.4
362,1366.4
363,1369.5
364,1372.4
365,1375.8
366,1378.8
367,1379.7
368,1381.9
369,1387.0
370,1388.7
371,1396.3
372,1405.1
373,1410.8
374,1413.5
375,1416.1
376,1419.4
377,1420.3
378,1421.5
379,1422.9
380,1424.1
381,1427.9
382,1429.4
383,1430.7
384,1432.6
385,1435.5
386,1436.8
387,1439.8
388,1442.4
389,1461.9
390,1463.2
391,1465.3
392,1467.2
393,1470.5
394,1478.6
395,1487.5
396,1491.1
397,1493.0
398,1495.9
399,1496.8
400,1499.0
401,1503.5
402,1504.3
403,1505.6
404,1508.4
405,1510.2
406,1511.5
407,1518.7
408,1520.1
409,1521.8
410,1525.7
411,1540.2
412,1555.4
413,1559.1
414,1561.2
415,1565.4
416,1567.1
417,1568.6
418,1574.9
419,1576.4
420,1582.1
421,1584.8
422,1587.2
423,1589.6
424,1592.7
425,1615.0
426,1643.3
427,1644.8
428,1661.2
429,1664.9
430,1668.9
431,1672.9
432,1676.9
433,1690.2
434,1693.7
435,1703.6
436,1707.9
437,1715.3
438,1720.3
439,1724.1
440,1727.2
441,1730.8
442,1733.5
443,1735.5
444,1738.2
445,1739.7
446,1744.9
447,1746.9
448,1749.5
449,1764.9
450,1770.3
451,1771.2
